# Matter power spectrum P(k) at redshift z=0
# for k=1.00618e-05 to 1.59662 h/Mpc,
# number of wavenumbers equal to 114
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.006176013695e-05       5.524645975667e+01 
       1.266700552378e-05       6.900948667747e+01 
       1.594681514523e-05       8.620107781337e+01 
       2.007585082351e-05       1.076753114278e+02 
       2.527399876511e-05       1.344988143419e+02 
       3.181807930305e-05       1.680038825066e+02 
       4.005658858909e-05       2.098542280839e+02 
       5.042825728460e-05       2.621273163495e+02 
       6.348541456807e-05       3.274166513222e+02 
       7.992340167803e-05       4.089588641429e+02 
       1.006176013695e-04       5.107910644696e+02 
       1.266700552378e-04       6.379446277014e+02 
       1.594681514523e-04       7.966819564792e+02 
       2.007585082351e-04       9.947821277761e+02 
       2.527399876511e-04       1.241878727224e+03 
       3.181807930305e-04       1.549848443086e+03 
       4.005658858909e-04       1.933238149679e+03 
       5.042825728460e-04       2.409707132239e+03 
       6.348541456807e-04       3.000445376355e+03 
       7.992340167803e-04       3.730503298003e+03 
       1.006176013695e-03       4.628886207202e+03 
       1.266700552378e-03       5.728088308393e+03 
       1.594681514523e-03       7.062501682902e+03 
       2.007585082351e-03       8.665986662277e+03 
       2.527399876511e-03       1.056692779909e+04 
       3.181807930305e-03       1.278105622408e+04 
       4.005658858909e-03       1.530124769290e+04 
       5.042825728460e-03       1.808384860518e+04 
       6.348541456807e-03       2.103164299652e+04 
       7.992340167803e-03       2.397759760837e+04 
       1.006176013695e-02       2.666037698399e+04 
       1.266700552378e-02       2.871698838305e+04 
       1.594681514522e-02       2.969083922628e+04 
       2.007585077313e-02       2.910905374909e+04 
       2.527394733733e-02       2.669734211004e+04 
       3.180903997846e-02       2.274056915693e+04 
       3.968503809338e-02       1.848402155324e+04 
       4.676587673988e-02       1.582839945442e+04 
       5.184279043856e-02       1.455334660488e+04 
       5.595681650033e-02       1.378493585306e+04 
       5.959628107136e-02       1.321955334664e+04 
       6.297268819203e-02       1.273525218006e+04 
       6.619538666251e-02       1.227134723233e+04 
       6.932885338876e-02       1.179515362896e+04 
       7.241491284908e-02       1.129126708894e+04 
       7.548275085296e-02       1.075523259116e+04 
       7.855396525746e-02       1.018990527252e+04 
       8.164534070320e-02       9.604402111422e+03 
       8.477047798478e-02       9.013315374002e+03 
       8.794080309980e-02       8.432631286422e+03 
       9.116621974865e-02       7.878780329753e+03 
       9.445554655050e-02       7.366916497260e+03 
       9.781681874855e-02       6.909046674559e+03 
       1.012575015097e-01       6.512723221723e+03 
       1.047846437192e-01       6.180372266100e+03 
       1.084049906045e-01       5.908877815887e+03 
       1.121250671744e-01       5.689500169452e+03 
       1.159512405291e-01       5.508938832785e+03 
       1.198897666069e-01       5.349543653567e+03 
       1.239468253180e-01       5.192746945845e+03 
       1.281285469589e-01       5.019825595130e+03 
       1.324410320972e-01       4.818113852276e+03 
       1.368903666493e-01       4.580939237132e+03 
       1.414826335610e-01       4.311499546811e+03 
       1.462239222979e-01       4.022531996626e+03 
       1.511203372175e-01       3.732580619895e+03 
       1.561780058091e-01       3.461487670610e+03 
       1.614030877363e-01       3.226229558813e+03 
       1.668017855815e-01       3.035499499298e+03 
       1.723803581718e-01       2.888528339901e+03 
       1.781451373508e-01       2.774715502986e+03 
       1.841025490535e-01       2.676987834977e+03 
       1.902591395332e-01       2.575751920177e+03 
       1.966216075939e-01       2.454453203774e+03 
       2.031968436922e-01       2.308583533339e+03 
       2.099919768001e-01       2.146917691662e+03 
       2.170144299760e-01       1.986472545213e+03 
       2.242719856803e-01       1.843561283765e+03 
       2.317728620100e-01       1.727554985195e+03 
       2.395258012337e-01       1.637997485834e+03 
       2.475401722941e-01       1.564102257292e+03 
       2.558260893468e-01       1.490329456372e+03 
       2.643945489413e-01       1.406357776216e+03 
       2.732575891663e-01       1.311786021889e+03 
       2.824284750390e-01       1.215931171706e+03 
       2.919219156701e-01       1.130985758152e+03 
       3.017543204068e-01       1.061907010480e+03 
       3.119441033720e-01       1.003894889973e+03 
       3.225120487910e-01       9.478533022306e+02 
       3.334817535179e-01       8.873596085267e+02 
       3.448801686921e-01       8.245712750872e+02 
       3.567382700950e-01       7.661458995510e+02 
       3.690918975488e-01       7.159999558120e+02 
       3.819828190827e-01       6.712895374303e+02 
       3.954600979726e-01       6.268593765921e+02 
       4.095818738897e-01       5.817055344219e+02 
       4.244177194481e-01       5.390172719658e+02 
       4.400518107141e-01       5.005218008390e+02 
       4.565872724492e-01       4.645233707296e+02 
       4.741522573493e-01       4.288612346815e+02 
       4.929086506506e-01       3.944900318581e+02 
       5.130648659682e-01       3.626853614536e+02 
       5.348952300361e-01       3.319489853935e+02 
       5.587703876535e-01       3.019977933700e+02 
       5.852069612168e-01       2.734149872363e+02 
       6.149526015280e-01       2.454369891856e+02 
       6.491400369628e-01       2.180449563956e+02 
       6.895850768129e-01       1.908378943274e+02 
       7.394083457077e-01       1.634664882347e+02 
       8.044387618034e-01       1.353518227295e+02 
       8.965365046296e-01       1.059076696997e+02 
       1.040301835191e+00       7.532338016694e+01 
       1.271758675445e+00       4.718167727744e+01 
       1.596620419074e+00       2.751877788286e+01 
