# Matter power spectrum P(k) at redshift z=0
# for k=1.04416e-05 to 1.65662 h/Mpc,
# number of wavenumbers equal to 114
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.044161108378e-05       4.796639579971e+01 
       1.314520953344e-05       5.991581268853e+01 
       1.654883832501e-05       7.484199955343e+01 
       2.083375310303e-05       9.348643743288e+01 
       2.622814120444e-05       1.167752666873e+02 
       3.301927346640e-05       1.458651189221e+02 
       4.156880244583e-05       1.822004680426e+02 
       5.233202173691e-05       2.275849149116e+02 
       6.588211201516e-05       2.842700032496e+02 
       8.294066499856e-05       3.550654672524e+02 
       1.044161108378e-04       4.434756707962e+02 
       1.314520953344e-04       5.538674551600e+02 
       1.654883832501e-04       6.916750179703e+02 
       2.083375310303e-04       8.636465069578e+02 
       2.622814120444e-04       1.078134780172e+03 
       3.301927346640e-04       1.345429678295e+03 
       4.156880244583e-04       1.678120038751e+03 
       5.233202173691e-04       2.091462339881e+03 
       6.588211201516e-04       2.603718833964e+03 
       8.294066499856e-04       3.236407016075e+03 
       1.044161108378e-03       4.014329652199e+03 
       1.314520953344e-03       4.965093522204e+03 
       1.654883832501e-03       6.117581953146e+03 
       2.083375310303e-03       7.499795898225e+03 
       2.622814120444e-03       9.134259148769e+03 
       3.301927346640e-03       1.103172690803e+04 
       4.156880244583e-03       1.318214329709e+04 
       5.233202173691e-03       1.554264634355e+04 
       6.588211201516e-03       1.802374798796e+04 
       8.294066499856e-03       2.047337068288e+04 
       1.044161108378e-02       2.265962753090e+04 
       1.314520953344e-02       2.426416855450e+04 
       1.654883832498e-02       2.489562924123e+04 
       2.083375292734e-02       2.416832631469e+04 
       2.622800938118e-02       2.190652241540e+04 
       3.300124074169e-02       1.845518614175e+04 
       4.097502545033e-02       1.500910923825e+04 
       4.768189997088e-02       1.304079685644e+04 
       5.254876894030e-02       1.207148324108e+04 
       5.656471612788e-02       1.146600687170e+04 
       6.015156959909e-02       1.100844357091e+04 
       6.349755613429e-02       1.060769012126e+04 
       6.670237598960e-02       1.021886832064e+04 
       6.982584194867e-02       9.816841340284e+03 
       7.290725853944e-02       9.390462549593e+03 
       7.597433495590e-02       8.936922981821e+03 
       7.904774969733e-02       8.459697727246e+03 
       8.214368797027e-02       7.967654392632e+03 
       8.527534564244e-02       7.473160564078e+03 
       8.845386766080e-02       6.989111196630e+03 
       9.168895863387e-02       6.529752466868e+03 
       9.498929405144e-02       6.107559692749e+03 
       9.836280524848e-02       5.731917377069e+03 
       1.018168815648e-01       5.408597308030e+03 
       1.053585165097e-01       5.138477127662e+03 
       1.089944150266e-01       4.918591467898e+03 
       1.127310730803e-01       4.740809600868e+03 
       1.165748371497e-01       4.593373637299e+03 
       1.205319488788e-01       4.461307862832e+03 
       1.246085786407e-01       4.328835404532e+03 
       1.288108507720e-01       4.180931068927e+03 
       1.331448625812e-01       4.007058513016e+03 
       1.376166987927e-01       3.803647985174e+03 
       1.422324428002e-01       3.574277708381e+03 
       1.469981859078e-01       3.330925855762e+03 
       1.519200356163e-01       3.089387002829e+03 
       1.570041239300e-01       2.866354780775e+03 
       1.622566166124e-01       2.674857142664e+03 
       1.676837242852e-01       2.521238905778e+03 
       1.732917162489e-01       2.403422121093e+03 
       1.790869378872e-01       2.311168502890e+03 
       1.850758325099e-01       2.229891079280e+03 
       1.912649684856e-01       2.143157857561e+03 
       1.976610725164e-01       2.038289651180e+03 
       2.042710699225e-01       1.913158106115e+03 
       2.111021328353e-01       1.776778757559e+03 
       2.181617372581e-01       1.643921386828e+03 
       2.254577300479e-01       1.527467718723e+03 
       2.329984070230e-01       1.434053062963e+03 
       2.407926036149e-01       1.361939961583e+03 
       2.488497997908e-01       1.300895577070e+03 
       2.571802413885e-01       1.238062830269e+03 
       2.657950805725e-01       1.166043033337e+03 
       2.747065388705e-01       1.085984964618e+03 
       2.839280972449e-01       1.006571516003e+03 
       2.934747189711e-01       9.374541436482e+02 
       3.033631128376e-01       8.815016185055e+02 
       3.136120465045e-01       8.336507861659e+02 
       3.242427229768e-01       7.863390473599e+02 
       3.352792373766e-01       7.350358642575e+02 
       3.467491370017e-01       6.826248196744e+02 
       3.586841157288e-01       6.347093180665e+02 
       3.711208852064e-01       5.937436397920e+02 
       3.841022816052e-01       5.565225635891e+02 
       3.976786904902e-01       5.191559987293e+02 
       4.119099077308e-01       4.814436395818e+02 
       4.268676079424e-01       4.462223655140e+02 
       4.426386749787e-01       4.144620704685e+02 
       4.593297808380e-01       3.843928228769e+02 
       4.770738144567e-01       3.545915036340e+02 
       4.960391236191e-01       3.261361869141e+02 
       5.164431625746e-01       2.997154595953e+02 
       5.385732756267e-01       2.740314384239e+02 
       5.628194946859e-01       2.491213315906e+02 
       5.897284883218e-01       2.252938309672e+02 
       6.200967347689e-01       2.019161222706e+02 
       6.551409546422e-01       1.790361821800e+02 
       6.968316226959e-01       1.562413202254e+02 
       7.485977304312e-01       1.332412929713e+02 
       8.169360456251e-01       1.095340157717e+02 
       9.152128207334e-01       8.466776630401e+01 
       1.070688227202e+00       5.904748741860e+01 
       1.318044423830e+00       3.634410775845e+01 
       1.656619970894e+00       2.110862342003e+01 
